Age group,Term,Freq
25 - 34,"""clean"" (32.67%)",0.904777238
35 - 44,"""clean"" (32.67%)",-0.103716878
45 - 54,"""clean"" (32.67%)",-0.731509042
55 - 65,"""clean"" (32.67%)",-1.30378217
16 - 24,"""cleaner"" (10.79%)",1.10095579
25 - 34,"""cleaner"" (10.79%)",0.513172781
35 - 44,"""cleaner"" (10.79%)",0.158319262
45 - 54,"""cleaner"" (10.79%)",-0.884404155
55 - 65,"""cleaner"" (10.79%)",-0.87894487
16 - 24,"""cleanser"" (15.66%)",1.216383783
25 - 34,"""cleanser"" (15.66%)",0.904462638
35 - 44,"""cleanser"" (15.66%)",0.023475598
45 - 54,"""cleanser"" (15.66%)",-0.817515977
55 - 65,"""cleanser"" (15.66%)",-1.374626705
16 - 24,"""climate"" (7.47%)",-0.520217695
25 - 34,"""climate"" (7.47%)",-0.245658356
35 - 44,"""climate"" (7.47%)",0.166180653
45 - 54,"""climate"" (7.47%)",0.419064254
55 - 65,"""climate"" (7.47%)",0.048168305
16 - 24,"""coconut"" (7.56%)",1.009209764
25 - 34,"""coconut"" (7.56%)",0.925803998
35 - 44,"""coconut"" (7.56%)",0.162641243
45 - 54,"""coconut"" (7.56%)",-0.925803998
55 - 65,"""coconut"" (7.56%)",-1.276108214
16 - 24,"""collagen"" (2.73%)",0.990104538
25 - 34,"""collagen"" (2.73%)",0.600403459
35 - 44,"""collagen"" (2.73%)",-0.181996399
45 - 54,"""collagen"" (2.73%)",-0.92842385
55 - 65,"""collagen"" (2.73%)",-1.036341072
16 - 24,"""cooling"" (4.95%)",1.289427014
25 - 34,"""cooling"" (4.95%)",0.863634916
35 - 44,"""cooling"" (4.95%)",-0.060253599
45 - 54,"""cooling"" (4.95%)",-0.783296784
55 - 65,"""cooling"" (4.95%)",-1.281393201
16 - 24,"""crazy"" (9.28%)",1.113895642
25 - 34,"""crazy"" (9.28%)",0.88941591
35 - 44,"""crazy"" (9.28%)",-0.443857653
45 - 54,"""crazy"" (9.28%)",-0.515283022
55 - 65,"""crazy"" (9.28%)",-0.845200205
16 - 24,"""cream"" (25.33%)",0.822628327
25 - 34,"""cream"" (25.33%)",0.948360434
35 - 44,"""cream"" (25.33%)",0.242707574
