Age group,Term,More Phrase Usage,Category
45 - 54,"""clay"" (3.65%)",-0.994228979,Product Ingredients
55 - 65,"""clay"" (3.65%)",-1.047577851,Product Ingredients
16 - 24,"""clean"" (32.67%)",1.246432838,Product Description
25 - 34,"""clean"" (32.67%)",0.904777238,Product Description
35 - 44,"""clean"" (32.67%)",-0.103716878,Product Description
45 - 54,"""clean"" (32.67%)",-0.731509042,Product Description
55 - 65,"""clean"" (32.67%)",-1.30378217,Product Description
16 - 24,"""cleaner"" (10.79%)",1.10095579,Product Description
25 - 34,"""cleaner"" (10.79%)",0.513172781,Product Description
35 - 44,"""cleaner"" (10.79%)",0.158319262,Product Description
45 - 54,"""cleaner"" (10.79%)",-0.884404155,Product Description
55 - 65,"""cleaner"" (10.79%)",-0.87894487,Product Description
16 - 24,"""cleanser"" (15.66%)",1.216383783,Product Description
25 - 34,"""cleanser"" (15.66%)",0.904462638,Product Description
35 - 44,"""cleanser"" (15.66%)",0.023475598,Product Description
45 - 54,"""cleanser"" (15.66%)",-0.817515977,Product Description
55 - 65,"""cleanser"" (15.66%)",-1.374626705,Product Description
16 - 24,"""climate"" (7.47%)",-0.520217695,Social Responsibility
25 - 34,"""climate"" (7.47%)",-0.245658356,Social Responsibility
35 - 44,"""climate"" (7.47%)",0.166180653,Social Responsibility
45 - 54,"""climate"" (7.47%)",0.419064254,Social Responsibility
55 - 65,"""climate"" (7.47%)",0.048168305,Social Responsibility
16 - 24,"""coconut"" (7.56%)",1.009209764,Product Ingredients
25 - 34,"""coconut"" (7.56%)",0.925803998,Product Ingredients
35 - 44,"""coconut"" (7.56%)",0.162641243,Product Ingredients
45 - 54,"""coconut"" (7.56%)",-0.925803998,Product Ingredients
55 - 65,"""coconut"" (7.56%)",-1.276108214,Product Ingredients
16 - 24,"""collagen"" (2.73%)",0.990104538,Product Ingredients
25 - 34,"""collagen"" (2.73%)",0.600403459,Product Ingredients
35 - 44,"""collagen"" (2.73%)",-0.181996399,Product Ingredients
45 - 54,"""collagen"" (2.73%)",-0.92842385,Product Ingredients
55 - 65,"""collagen"" (2.73%)",-1.036341072,Product Ingredients
16 - 24,"""cooling"" (4.95%)",1.289427014,Product Effects
25 - 34,"""cooling"" (4.95%)",0.863634916,Product Effects
35 - 44,"""cooling"" (4.95%)",-0.060253599,Product Effects
45 - 54,"""cooling"" (4.95%)",-0.783296784,Product Effects
55 - 65,"""cooling"" (4.95%)",-1.281393201,Product Effects
16 - 24,"""crazy"" (9.28%)",1.113895642,Product Reactions
25 - 34,"""crazy"" (9.28%)",0.88941591,Product Reactions
35 - 44,"""crazy"" (9.28%)",-0.443857653,Product Reactions
45 - 54,"""crazy"" (9.28%)",-0.515283022,Product Reactions
55 - 65,"""crazy"" (9.28%)",-0.845200205,Product Reactions
16 - 24,"""cream"" (25.33%)",0.822628327,Product Description
25 - 34,"""cream"" (25.33%)",0.948360434,Product Description
35 - 44,"""cream"" (25.33%)",0.242707574,Product Description
45 - 54,"""cream"" (25.33%)",-0.822132669,Product Description
55 - 65,"""cream"" (25.33%)",-1.403209959,Product Description
16 - 24,"""cucumber"" (2.07%)",1.115574759,Product Ingredients
25 - 34,"""cucumber"" (2.07%)",0.854482794,Product Ingredients
35 - 44,"""cucumber"" (2.07%)",-0.514272052,Product Ingredients
45 - 54,"""cucumber"" (2.07%)",-0.443065152,Product Ingredients
55 - 65,"""cucumber"" (2.07%)",-0.783275894,Product Ingredients
16 - 24,"""cystic acne"" (7.18%)",1.355081009,Skin Descriptions
25 - 34,"""cystic acne"" (7.18%)",0.768658021,Skin Descriptions
35 - 44,"""cystic acne"" (7.18%)",-0.280361588,Skin Descriptions
45 - 54,"""cystic acne"" (7.18%)",-0.693894931,Skin Descriptions
55 - 65,"""cystic acne"" (7.18%)",-0.999956331,Skin Descriptions
16 - 24,"""dark circles"" (16.10%)",1.326440762,Skin Descriptions
25 - 34,"""dark circles"" (16.10%)",0.787331797,Skin Descriptions
35 - 44,"""dark circles"" (16.10%)",0.005171309,Skin Descriptions
45 - 54,"""dark circles"" (16.10%)",-0.797674415,Skin Descriptions
55 - 65,"""dark circles"" (16.10%)",-1.321269453,Skin Descriptions
16 - 24,"""dark spots"" (13.35%)",1.00767576,Skin Descriptions
25 - 34,"""dark spots"" (13.35%)",0.604998312,Skin Descriptions
35 - 44,"""dark spots"" (13.35%)",-0.155178138,Skin Descriptions
45 - 54,"""dark spots"" (13.35%)",-0.408570289,Skin Descriptions
55 - 65,"""dark spots"" (13.35%)",-0.972318716,Skin Descriptions
16 - 24,"""day and night"" (6.76%)",0.578961192,Product Usage
25 - 34,"""day and night"" (6.76%)",0.82631139,Product Usage
35 - 44,"""day and night"" (6.76%)",0.104476918,Product Usage
45 - 54,"""day and night"" (6.76%)",-1.150111826,Product Usage
55 - 65,"""day and night"" (6.76%)",-1.423624064,Product Usage
16 - 24,"""daytime"" (6.43%)",0.463815741,Product Usage
25 - 34,"""daytime"" (6.43%)",0.56607433,Product Usage
35 - 44,"""daytime"" (6.43%)",0.368861337,Product Usage
45 - 54,"""daytime"" (6.43%)",-0.989717054,Product Usage
55 - 65,"""daytime"" (6.43%)",-0.500336666,Product Usage
16 - 24,"""dermatologist recommended"" (23.79%)",-1.397522123,Product Recommendation
25 - 34,"""dermatologist recommended"" (23.79%)",-0.745199443,Product Recommendation
35 - 44,"""dermatologist recommended"" (23.79%)",0.375877725,Product Recommendation
45 - 54,"""dermatologist recommended"" (23.79%)",0.810759511,Product Recommendation
55 - 65,"""dermatologist recommended"" (23.79%)",0.626098652,Product Recommendation
16 - 24,"""diminish"" (1.83%)",0.494717862,Product Effects
25 - 34,"""diminish"" (1.83%)",1.015473506,Product Effects
35 - 44,"""diminish"" (1.83%)",0.091132238,Product Effects
45 - 54,"""diminish"" (1.83%)",-0.598868991,Product Effects
55 - 65,"""diminish"" (1.83%)",-1.223775763,Product Effects
16 - 24,"""disappear"" (6.33%)",0.679909513,Product Effects
25 - 34,"""disappear"" (6.33%)",0.968939873,Product Effects
35 - 44,"""disappear"" (6.33%)",-0.107354134,Product Effects
45 - 54,"""disappear"" (6.33%)",-0.495480617,Product Effects
55 - 65,"""disappear"" (6.33%)",-1.125842069,Product Effects
16 - 24,"""doctor recommended"" (3.84%)",-0.207058798,Product Recommendation
